dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
Chennu,gamma,7,moderate,0.3228955759115064,12.75171431265757,0.017641726215887554,0.5862068965517241,0.05172413793103448,20.0,90.0,58.0
Chennu,gamma,7,recovery,0.33563728171811613,15.004476427282073,0.021204964454550283,0.7471264367816091,0.4482758620689655,20.0,90.0,58.0
Chennu,gamma,8,baseline,0.27917745478911565,16.125853798512306,0.01741803775517782,0.8275862068965517,0.603448275862069,20.0,90.0,58.0
Chennu,gamma,8,mild,0.2993214181173665,17.717216530563032,0.01981891939319036,0.7413793103448275,0.3793103448275862,20.0,90.0,58.0
Chennu,gamma,8,moderate,0.32983680012220457,15.815338611806206,0.020212810183467756,0.896551724137931,0.7068965517241379,20.0,90.0,58.0
Chennu,gamma,8,recovery,0.29169391499014474,16.17764080980113,0.0170724145087347,0.8045977011494251,0.4482758620689655,20.0,90.0,58.0
Chennu,gamma,9,baseline,0.27490116038996115,19.42698822884536,0.018536136985474634,0.8275862068965517,0.603448275862069,20.0,90.0,58.0
Chennu,gamma,9,mild,0.3020456917145649,17.844437392089752,0.019470620770897222,0.7011494252873564,0.27586206896551724,20.0,90.0,58.0
Chennu,gamma,9,moderate,0.32043465896567525,16.94994501681497,0.021445338159178026,0.6264367816091954,0.1206896551724138,20.0,90.0,58.0
Chennu,gamma,9,recovery,0.3176180945063669,17.596973135272204,0.020355714037663276,0.6954022988505746,0.20689655172413793,20.0,90.0,58.0
DS005620,alpha,1010,awake,0.2584424313566194,15.177554290289132,0.013286256010669734,0.8275862068965516,0.603448275862069,62.0,90.0,58.0
DS005620,alpha,1010,sed,0.1989346193609688,13.83868694213149,0.009776141272078586,0.42528735632183906,0.09770114942528736,62.0,90.0,58.0
DS005620,alpha,1010,sed2,0.19843198338624157,13.880422775300415,0.009421864294415593,0.46491228070175433,0.14912280701754385,62.0,60.0,38.0
DS005620,alpha,1016,awake,0.2232898272260358,15.247813033511818,0.011713155399276597,0.8275862068965517,0.5689655172413793,62.0,90.0,58.0
DS005620,alpha,1016,sed,0.22787701074387698,14.929943164702783,0.011914040828085162,0.8659003831417623,0.6609195402298851,62.0,90.0,58.0
DS005620,alpha,1016,sed2,0.20659453896994975,14.809950609153283,0.010635540350605266,0.8771929824561403,0.7236842105263157,62.0,60.0,38.0
DS005620,alpha,1017,awake,0.24414434045232128,14.567786346298067,0.013269495823225395,0.8275862068965517,0.5689655172413793,62.0,90.0,58.0
